candidate,fold,engineered,best_C,threshold,inner_threshold_f2,pr_auc,roc_auc,precision,recall,f1,f2,balanced_accuracy,mcc,brier
LogisticRegression__raw,13,False,0.03,0.45999999999999985,0.6286919831223629,0.627625993881654,0.8142820225686968,0.34,0.723404255319149,0.46258503401360546,0.5902777777777778,0.7280988887931777,0.3528984134438734,0.15792162086827521
LogisticRegression__raw,14,False,0.03,0.4299999999999998,0.6455592105263158,0.5392601689441038,0.7720733913343096,0.2926829268292683,0.7659574468085106,0.4235294117647059,0.5787781350482315,0.7068653630803687,0.3073721890697223,0.17125299788340656
LogisticRegression__raw,15,False,0.03,0.44999999999999984,0.6291118421052632,0.5829348309379592,0.8248772504091653,0.35789473684210527,0.723404255319149,0.4788732394366197,0.6007067137809188,0.7382203462830563,0.37335150989152194,0.15162209626510875
LogisticRegression__raw,16,False,0.01,0.45999999999999985,0.6158238172920065,0.5634011362382976,0.8125846883468835,0.30833333333333335,0.7708333333333334,0.44047619047619047,0.592948717948718,0.7167174796747968,0.32594690541700266,0.17771876343886223
LogisticRegression__raw,17,False,0.05,0.3799999999999999,0.6268996960486323,0.6895323222261517,0.8521341463414636,0.32558139534883723,0.875,0.4745762711864407,0.6542056074766355,0.7606707317073171,0.38830556230222296,0.14609693127406165
LogisticRegression__raw,18,False,0.1,0.4999999999999998,0.631154879140555,0.669426603179647,0.8287535532776293,0.38372093023255816,0.7021276595744681,0.49624060150375937,0.6021897810218978,0.7437763803945214,0.39276984061975617,0.14630017007070878
LogisticRegression__raw,19,False,0.03,0.5099999999999998,0.6039076376554174,0.6813499359067907,0.8517529502971832,0.43661971830985913,0.6595744680851063,0.5254237288135594,0.5984555984555985,0.7488155741235248,0.4261115989568531,0.1478081127078466
LogisticRegression__raw,20,False,0.05,0.45999999999999985,0.6382079459002535,0.48708303361088934,0.8116116805926437,0.3046875,0.8297872340425532,0.44571428571428573,0.6170886075949367,0.7347316737014385,0.3470084639139808,0.1872557448124061
LogisticRegression__raw,21,False,0.05,0.4199999999999998,0.631578947368421,0.5641177907782249,0.7999661246612466,0.3090909090909091,0.7083333333333334,0.43037974683544306,0.5629139072847682,0.6996951219512195,0.30505656106176954,0.1523002731814159
LogisticRegression__raw,22,False,0.05,0.46999999999999986,0.6117247238742566,0.7200565878305799,0.8979505420054201,0.375,0.875,0.525,0.6907894736842105,0.7952235772357723,0.44939113489261784,0.1563742757119387
LogisticRegression__raw,23,False,0.05,0.4299999999999998,0.6552006552006552,0.5740428608238013,0.7906796451029374,0.2892561983471074,0.7446808510638298,0.4166666666666667,0.5663430420711975,0.698251356706004,0.2952757848671475,0.1695047228549375
LogisticRegression__raw,24,False,0.03,0.46999999999999986,0.636593591905565,0.6589535288252464,0.854767852528211,0.39215686274509803,0.851063829787234,0.5369127516778524,0.6896551724137931,0.8000258420191231,0.4619929670281324,0.15554245168303665
LogisticRegression__raw,25,False,0.03,0.5099999999999998,0.6417112299465241,0.5942885298488706,0.813248341803773,0.367816091954023,0.6808510638297872,0.47761194029850745,0.5818181818181818,0.7290894995262296,0.3678644208182544,0.16500927104610832
LogisticRegression__engineered,1,True,0.03,0.45999999999999985,0.5974025974025974,0.6176555883049354,0.8328252032520326,0.3391304347826087,0.8125,0.4785276073619632,0.6351791530944625,0.7517784552845528,0.3813829704322483,0.16018260982211543
LogisticRegression__engineered,2,True,0.03,0.46999999999999986,0.6228813559322034,0.6332231290633759,0.832740514905149,0.3592233009708738,0.7708333333333334,0.4900662251655629,0.6271186440677966,0.751270325203252,0.38933556171029426,0.16634473306513722
LogisticRegression__engineered,3,True,0.03,0.5499999999999998,0.6339370829361296,0.5645184985237902,0.8119562408476183,0.4246575342465753,0.6595744680851063,0.5166666666666667,0.5938697318007663,0.7447669911275734,0.41526247067783745,0.1623495265312914
LogisticRegression__engineered,4,True,0.03,0.4999999999999998,0.6376429199648197,0.7025131034349921,0.8706176242570419,0.4,0.723404255319149,0.5151515151515151,0.6227106227106227,0.7584632612628134,0.41787233055399586,0.14450522797131496
LogisticRegression__engineered,5,True,0.05,0.4199999999999998,0.6067961165048543,0.605459471636829,0.8471013868550262,0.3225806451612903,0.851063829787234,0.4678362573099415,0.6410256410256411,0.7554914290636575,0.3792000915246429,0.1593802210505581
LogisticRegression__engineered,6,True,0.03,0.43999999999999984,0.5959183673469388,0.6412708040667847,0.8730521680216802,0.36936936936936937,0.8541666666666666,0.5157232704402516,0.6765676567656765,0.7848069105691057,0.4342918270914196,0.15062574632846196
LogisticRegression__engineered,7,True,0.03,0.4299999999999998,0.6132461161079313,0.5746250565104789,0.8271510840108401,0.3203125,0.8541666666666666,0.4659090909090909,0.640625,0.7502540650406504,0.3731129130640831,0.17024866274489503
LogisticRegression__engineered,8,True,0.05,0.44999999999999984,0.6477561388653683,0.6335611568705483,0.7921440261865794,0.32653061224489793,0.6808510638297872,0.4413793103448276,0.5594405594405595,0.7068222930484969,0.3215760353699393,0.15397568605445267
LogisticRegression__engineered,9,True,0.03,0.5199999999999998,0.625,0.6167256505898416,0.815401843397364,0.34831460674157305,0.6595744680851063,0.45588235294117646,0.5595667870036101,0.7123783271599621,0.3388173669346961,0.16590285928413617
LogisticRegression__engineered,10,True,0.03,0.44999999999999984,0.5986787778695293,0.6126086524714084,0.8481350676199502,0.37142857142857144,0.8297872340425532,0.5131578947368421,0.6655290102389079,0.7812903781548799,0.4302855151679147,0.15310827164768664
LogisticRegression__engineered,11,True,0.05,0.4299999999999998,0.625,0.6164406019143412,0.8362127371273713,0.3178294573643411,0.8541666666666666,0.4632768361581921,0.6386292834890965,0.7482215447154472,0.369760754745879,0.16583744536347725
LogisticRegression__engineered,12,True,0.03,0.3899999999999999,0.5946969696969697,0.7236322836694749,0.9025237127371274,0.33093525179856115,0.9583333333333334,0.4919786096256685,0.6948640483383686,0.7901422764227642,0.42959175037864583,0.15253803084076947
LogisticRegression__engineered,13,True,0.03,0.4099999999999998,0.6304520222045995,0.6183421899797105,0.8139374623137221,0.3103448275862069,0.7659574468085106,0.44171779141104295,0.5921052631578947,0.7210354035661987,0.33147459323025213,0.1555322531791103
LogisticRegression__engineered,14,True,0.05,0.3599999999999999,0.632183908045977,0.5407708181516916,0.7802566973899561,0.2740740740740741,0.7872340425531915,0.4065934065934066,0.5727554179566563,0.6952364544749763,0.28715928747547265,0.1664177178463165
LogisticRegression__engineered,15,True,0.03,0.4199999999999998,0.6140350877192983,0.5823051556886893,0.8332328365922992,0.3486238532110092,0.8085106382978723,0.48717948717948717,0.6397306397306397,0.7605306227926608,0.39535484534020227,0.14989650328231663
LogisticRegression__engineered,16,True,0.01,0.43999999999999984,0.6235201262825573,0.5843000942523453,0.8227472899728997,0.3007518796992481,0.8333333333333334,0.4419889502762431,0.6153846153846154,0.7276422764227642,0.3380900030203835,0.17284388778025733
LogisticRegression__engineered,17,True,0.03,0.43999999999999984,0.6234915526950925,0.7024461876810255,0.850779132791328,0.39622641509433965,0.875,0.5454545454545454,0.7046979865771812,0.8074186991869918,0.47327829874481053,0.14877428123379446
LogisticRegression__engineered,18,True,0.05,0.4199999999999998,0.628594905505341,0.59980466696836,0.8204841071582393,0.34579439252336447,0.7872340425531915,0.4805194805194805,0.6271186440677966,0.7519166164182962,0.3837704431742849,0.14842891795914473
LogisticRegression__engineered,19,True,0.03,0.3899999999999999,0.6135670731707317,0.6733715298089678,0.8486519080024119,0.3064516129032258,0.8085106382978723,0.4444444444444444,0.6089743589743589,0.7301662503230253,0.3416124897349447,0.1434330717065132
LogisticRegression__engineered,20,True,0.1,0.48999999999999977,0.6316725978647687,0.5133913813165736,0.8130760616762855,0.3162393162393162,0.7872340425531915,0.45121951219512196,0.6065573770491803,0.731673701438539,0.34691619520501465,0.187355459762183
LogisticRegression__engineered,21,True,0.1,0.3999999999999998,0.6275468622656887,0.5837857882417858,0.8165650406504066,0.3394495412844037,0.7708333333333334,0.4713375796178344,0.6146179401993356,0.7390752032520325,0.36589256816954274,0.1452719226254838
LogisticRegression__engineered,22,True,0.03,0.46999999999999986,0.5979643765903307,0.7052255242119515,0.9000677506775068,0.375,0.875,0.525,0.6907894736842105,0.7952235772357723,0.44939113489261784,0.15698966297392436
LogisticRegression__engineered,23,True,0.03,0.45999999999999985,0.6408094435075885,0.567904027658721,0.7823240589198037,0.30275229357798167,0.7021276595744681,0.4230769230769231,0.5555555555555556,0.6972176759410802,0.2992775395623717,0.1711944789479787
LogisticRegression__engineered,24,True,0.03,0.47999999999999976,0.6181202370872142,0.6636306827298605,0.8538203118270308,0.38144329896907214,0.7872340425531915,0.5138888888888888,0.6491228070175439,0.7721595313980533,0.42425988465292147,0.1529779668165109
LogisticRegression__engineered,25,True,0.05,0.45999999999999985,0.6360572872788542,0.5802660273975538,0.8126453613575675,0.34579439252336447,0.7872340425531915,0.4805194805194805,0.6271186440677966,0.7519166164182962,0.3837704431742849,0.16378648688948086
